"Agency","TAS_Rendering_Label","Account_Name","federal_account_code","Function_Description","Total_Budgetary_Resources","Obligations_Incurred","Unobligated_Balance","Outlays","DEFC","Loan_Program_Account","Legislation"
"Agency for International Development","072-2020/2022-1007-000","Operating Expenses of the United States Agency for International Development, Office of Inspector General, Funds Appropriated to the President","072-1007","International Affairs",1000000,24699.98,975300.02,0,"L","No","1"
"Agency for International Development","072-019-2020/2022-1031-000","Global Health Programs, State","019-1031","International Affairs",235000000,200000000,35000000,-39159965.17,"L","No","1"
"Agency for International Development","072-X-1035-000","International Disaster Assistance, Funds Appropriated to the President, US Agency for International Development","072-1035","International Affairs",300000000,300000000,0,-23216308.21,"L","No","1"
"Agency for International Development","072-X-1035-000","International Disaster Assistance, Funds Appropriated to the President, US Agency for International Development","072-1035","International Affairs",258000000,258000000,0,-11466848.83,"N","No","3"
"Agency for International Development","072-2020/2022-1000-000","Operating Expenses of the United States Agency for International Development, Funds Appropriated to the President","072-1000","International Affairs",95000000,38685698.55,56314301.45,-20490444.63,"N","No","3"
"Agency for International Development","072-2020/2020-1000-000","Operating Expenses of the United States Agency for International Development, Funds Appropriated to the President","072-1000","International Affairs",7000000,7000000,0,-3429658.86,"L","No","1"
"Agency for International Development","072-019-X-1031-000","Global Health Programs, State","019-1031","International Affairs",200000000,122508767.08,77491232.92,-3572262.78,"L","No","1"
"Agency for International Development","072-2020/2022-1037-000","Economic Support Fund, Funds Appropriated to the President","072-1037","International Affairs",239300000,196668160.63,42631839.37,-20162137.69,"L","No","1"
"Armed Forces Retirement Home","084-2020/2021-8522-000","Armed Forces Retirement Home Trust Fund, Armed Forces Retirement Home","084-8522","Veterans Benefits and Services",2800000,747153.56,2052846.44,-144327.75,"N","No","3"
"Corps of Engineers","096-2020/2021-3123-000","Operation and Maintenance, Corps of Engineers-Civil","096-3123","Natural Resources and Environment",50000000,10456314.4,39543685.6,-7624825.25,"N","No","3"
"Corps of Engineers","096-2020/2021-3124-000","Expenses, Corps of Engineers-Civil","096-3124","Natural Resources and Environment",20000000,8058492.07,11941507.93,-6156930.73,"N","No","3"
"Council of the Inspectors General on Integrity and Efficiency","542-X-1654-000","Pandemic Response Accountability Committee, Council of the Inspectors General on Integrity and Efficiency","542-1654","General Government",80000000,7198772.56,72801227.44,-429543.12,"N","No","3"
"Department of Agriculture","012-2020/2020-0115-000","Processing, Research and Marketing, Office of the Secretary, Agriculture","012-0115","Agriculture",4000000000,3008179100.93,991820899.07,-1931137089.32,"M","No","2"
"Department of Agriculture","012-X-0115-000","Office of the Secretary, Agriculture","012-0115","Agriculture",16000000000,10617193301.29,5382806698.71,-9373964533.04,"N","No","3"
"Department of Agriculture","012-2020/2021-0600-000","Salaries and Expenses, Farm Service Agency, Agriculture","012-0600","Agriculture",3000000,3000000,0,-3000000,"N","No","3"
"Department of Agriculture","012-2020/2021-0900-000","Office of the Inspector General, Agriculture","012-0900","Agriculture",750000,469668.66,280331.34,-407663.23,"N","No","3"
"Department of Agriculture","012-2020/2021-1103-000","Capital Improvement and Maintenance, Forest Service, Agriculture","012-1103","Natural Resources and Environment",26800000,5086572.2,21713427.8,-1980046.51,"N","No","3"
"Department of Agriculture","012-2020/2021-1104-000","Forest and Rangeland Research, Forest Service, Agriculture","012-1104","Natural Resources and Environment",3000000,32332.17,2967667.83,-28033.24,"N","No","3"
"Department of Agriculture","012-2020/2021-1106-000","National Forest System, Forest Service, Agriculture","012-1106","Natural Resources and Environment",34000000,8413443.07,25586556.93,-4682076.11,"N","No","3"
"Department of Agriculture","012-2020/2021-1115-000","Wildland Fire Management, Forest Service, Agriculture ","012-1115","Natural Resources and Environment",7000000,4761033.83,2238966.17,-2780965.27,"N","No","3"
"Department of Agriculture","012-2020/2021-1232-000","Distance Learning, Telemedicine and Broadband Program, Rural Utilities Service, Agriculture","012-1232","Community and Regional Development",100000000,87949568,12050432,-3000000,"N","No","3"
"Department of Agriculture","012-X-1232-000","Distance Learning, Telemedicine and Broadband Program, Rural Utilities Service,  Agriculture","012-1232","Community and Regional Development",25000000,750000,24250000,-750000,"N","No","3"
"Department of Agriculture","012-2020/2021-1600-000","Salaries and Expenses, Animal and Plant Health Inspection Service, Agriculture","012-1600","Agriculture",55000000,43320514.79,11679485.21,-43320514.79,"N","No","3"
"Department of Agriculture","012-2020/2021-1902-000","Rural Business Program Account, Rural Business-Cooperative Service, Agriculture","012-1902","Community and Regional Development",20500000,3506141.38,16993858.62,-880200.1,"N","Yes","3"
"Department of Agriculture","012-2020/2021-2500-000","Marketing Services, Agricultural Marketing Service, Agriculture","012-2500","Agriculture",45000000,9788547.6,35211452.4,-8572307.77,"N","No","3"
"Department of Agriculture","012-2020/2021-2900-000","Salaries and Expenses, Foreign Agricultural Service, Agriculture","012-2900","Agriculture",16930780,1777343.67,15153436.33,-1620266.22,"N","No","3"
"Department of Agriculture","012-2020/2020-3505-000","Supplemental Nutrition Assistance Program, Food and Nutrition Service, Agriculture","012-3505","Income Security",11000000000,6335049300,4664950700,-6335049300,"M","No","2"
"Department of Agriculture","012-2020/2021-3505-000","Supplemental Nutrition Assistance Program, Food and Nutrition Service, Agriculture","012-3505","Income Security",100000000,100000000,0,-93252885.41,"M","No","2"
"Department of Agriculture","012-2020/2021-3505-000","Supplemental Nutrition Assistance Program, Food and Nutrition Service, Agriculture","012-3505","Income Security",15810000000,15739253408,70746592,-15681083000.85,"N","No","3"
"Department of Agriculture","012-2020/2021-3507-000","Commodity Assistance Program, Food and Nutrition Service, Agriculture","012-3507","Income Security",400000000,206340614.56,193659385.44,-75612360.51,"M","No","2"
"Department of Agriculture","012-2020/2021-3507-000","Commodity Assistance Program, Food and Nutrition Service, Agriculture","012-3507","Income Security",450000000,346538592.6,103461407.4,-113557371.79,"N","No","3"
"Department of Agriculture","012-2020/2021-3510-000","Special Supplemental Nutrition Program for Women, Infants and Children (WIC), Food and Nutrition Service","012-3510","Income Security",500000000,0,500000000,0,"M","No","2"
"Department of Agriculture","012-2020/2021-3539-000","Child Nutrition Programs, Food and Nutrition Service","012-3539","Income Security",8800000000,7038590002.62,1761409997.38,-5073347354.65,"N","No","3"
"Department of Agriculture","012-2020/2021-3700-000","Food Safety and Inspection Service, Agriculture","012-3700","Health",33000000,14625939.53,18374060.47,-9587410.77,"N","No","3"
"Department of Commerce","013-2020/2022-0125-000","Salaries and Expenses, Economic Development Administration, Commerce","013-0125","Community and Regional Development",10000000,5537209.68,4462790.32,-1329027.44,"N","No","3"
"Department of Commerce","013-2020/2022-0126-000","Office of Inspector General, Departmental Management, Commerce","013-0126","Commerce and Housing Credit",3000000,70450.07,2929549.93,-62661.5,"N","No","3"
"Department of Commerce","013-2020/2021-0201-000","Minority Business Development, Minority Business Development Agency, Commerce","013-0201","Commerce and Housing Credit",10000000,10000000,0,-1964098.38,"O","No","3"
"Department of Commerce","013-2020/2021-0500-000","Scientific and Technical Research and Services, National Institute of Standards and Technology, Commerce ","013-0500","Commerce and Housing Credit",6000000,3213059.95,2786940.05,-2015999.22,"N","No","3"
"Department of Commerce","013-2020/2021-0525-000","Industrial Technology Services, National Institute of Standards and Technology, Commerce","013-0525","Commerce and Housing Credit",60000000,59837248.05,162751.95,-4088676.71,"N","No","3"
"Department of Commerce","013-2020/2021-1450-000","Operations, Research and Facilities, National Oceanic and Atmospheric Administration, Commerce","013-1450","Natural Resources and Environment",20300000,10570209.5,9729790.5,-2682473.28,"N","No","3"
