"Agency","federal_account_code","Account_Name","Total_Budgetary_Authority"
"Agency for International Development","019-1031","Global Health Programs, State",235000000
"Agency for International Development","072-1000","Operating Expenses of the United States Agency for International Development, Funds Appropriated to the President",102000000
"Agency for International Development","072-1007","Operating Expenses of the United States Agency for International Development, Office of Inspector General, Funds Appropriated to the President",1000000
"Agency for International Development","072-1035","International Disaster Assistance, Funds Appropriated to the President, US Agency for International Development",558000000
"Agency for International Development","072-1037","Economic Support Fund, Funds Appropriated to the President",243000000
"Armed Forces Retirement Home","084-8522","Armed Forces Retirement Home Trust Fund, Armed Forces Retirement Home",2800000
"Corps of Engineers","096-3123","Operation and Maintenance, Corps of Engineers-Civil",50000000
"Corps of Engineers","096-3124","Expenses, Corps of Engineers-Civil",20000000
"Department of Agriculture","012-0600","Salaries and Expenses, Farm Service Agency, Agriculture",3000000
"Department of Agriculture","012-1103","Capital Improvement and Maintenance, Forest Service, Agriculture",26800000
"Department of Agriculture","012-1104","Forest and Rangeland Research, Forest Service, Agriculture",3000000
"Department of Agriculture","012-1106","National Forest System, Forest Service, Agriculture",34000000
"Department of Agriculture","012-1600","Salaries and Expenses, Animal and Plant Health Inspection Service, Agriculture",55000000
"Department of Agriculture","012-1902","Rural Business Program Account, Rural Business-Cooperative Service, Agriculture",20500000
"Department of Agriculture","012-2500","Marketing Services, Agricultural Marketing Service, Agriculture",45000000
"Department of Agriculture","012-3505","Supplemental Nutrition Assistance Program, Food and Nutrition Service, Agriculture",15810000000
"Department of Agriculture","012-3507","Commodity Assistance Program, Food and Nutrition Service, Agriculture",850000000
"Department of Agriculture","012-3539","Child Nutrition Programs, Food and Nutrition Service",8800000000
"Department of Agriculture","012-3700","Food Safety and Inspection Service, Agriculture",33000000
"Department of Commerce","013-0126","Office of Inspector General, Departmental Management, Commerce",3000000
"Department of Commerce","013-0201","Minority Business Development, Minority Business Development Agency, Commerce",820000
"Department of Commerce","013-0500","Scientific and Technical Research and Services, National Institute of Standards and Technology, Commerce ",491803
"Department of Commerce","013-0525","Industrial Technology Services, National Institute of Standards and Technology, Commerce",4918033
"Department of Commerce","013-1450","Operations, Research and Facilities, National Oceanic and Atmospheric Administration, Commerce",1663934.43
"Department of Commerce","013-2050","Economic Development Assistance Programs, Economic Development Administration, Commerce",120000000
"Department of Commerce","013-2055","Fishery Disaster Assistance, National Oceanic and Atmospheric Administration, Commerce",24565573.77
"Department of Defense","017-1106","Operation and Maintenance, Marine Corps",90000000
"Department of Defense","017-1804","Operation and Maintenance, Navy",360308000
"Department of Defense","021-2020","Operation and Maintenance, Army",160300000
"Department of Defense","021-2060","National Guard Personnel, Army",746591000
"Department of Defense","021-2065","Operation and Maintenance, Army National Guard",186696000
"Department of Defense","021-2080","Operation and Maintenance, Army Reserve",48000000
"Department of Defense","057-3400","Operation and Maintenance, Air Force",155040000
"Department of Defense","057-3840","Operation and Maintenance, Air National Guard",75754000
"Department of Defense","057-3850","National Guard Personnel, Air Force",482125000
"Department of Defense","097-0100","Operation and Maintenance, Defense-Wide, Defense",827800000
"Department of Defense","097-0107","Office of the Inspector General, Defense",20000000
"Department of Defense","097-0130","Defense Health Program, Defense",4983100000
"Department of Defense","097-0360","Defense Production Act Purchases, Defense",1000000000
"Department of Defense","097-4930","Department of Defense Working Capital Fund, Defense",1450000000
"Department of Education","091-0203","Safe Schools and Citizenship Education,  Education",180000000
"Department of Education","091-0251","Education Stabilization Fund, Department of Education",30750000000
"Department of Education","091-0602","Gallaudet University, Special Institutions for Persons with Disabilities, Education",7000000
"Department of Education","091-0603","Howard University, Education",13000000
"Department of Education","091-0800","Program Administration, Departmental Management, Education",8000000
"Department of Education","091-1400","Office of the Inspector General, Departmental Management, Education",7000000
"Department of Energy","089-0222","Science, Energy Programs, Energy",99500000
"Department of Energy","089-0228","Departmental Administration, Energy Programs, Energy",28000000
"Department of Health & Human Services","075-0128","Office of the Inspector General, Office of the Secretary, Health and Human Services",2000000
"Department of Health & Human Services","075-0140","Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",131012500000
"Department of Health & Human Services","075-0142","Aging and Disability Services Programs, Administration for Community Living, Health and Human Services",1205000000
"Department of Health & Human Services","075-0360","Primary Health Care, Health Resources and Services Administration, Health and Human Services",100000000
"Department of Health & Human Services","075-0390","Indian Health Services, Indian Health Service, Health and Human Services",1096000000
"Department of Health & Human Services","075-0511","Program Management, Centers for Medicare and Medicaid Services",200000000
"Department of Health & Human Services","075-0600","Salaries and Expenses, Food and Drug Administration, Health and Human Services",141000000
"Department of Health & Human Services","075-0807","National Library of Medicine, National Institutes of Health",10000000
"Department of Health & Human Services","075-0846","Office of the Director, National Institutes of Health, Health and Human Services",30000000
"Department of Health & Human Services","075-0862","National Institute of Environmental Health Sciences, National Institutes of Health, Health and Human Services",10000000
"Department of Health & Human Services","075-0872","National Heart, Lung, and Blood Institute, National Institutes of Health, Health and Human Services",103400000
"Department of Health & Human Services","075-0875","National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services ",36000000
"Department of Health & Human Services","075-0885","National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",1532000000
"Department of Health & Human Services","075-0898","National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services  ",60000000
"Department of Health & Human Services","075-0943","CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",5900000000
"Department of Health & Human Services","075-0944","Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services  ",12500000
"Department of Health & Human Services","075-0945","Infectious Diseases Rapid Response Reserve Fund, Centers for Disease Control, Health and Human Services",600000000
"Department of Health & Human Services","075-1362","Health Surveillance and Program Support, Substance Abuse and Mental Health Services Administration, Health and Human Services",425000000
"Department of Health & Human Services","075-1502","Low Income Home Energy Assistance, Administration for Children and Families, Health and Human Services",900000000
"Department of Health & Human Services","075-1515","Payment to States for the Child Care and Development Block Grant, Administration for Children and Families, Health and Human Services",3500000000
"Department of Health & Human Services","075-1536","Children and Families Services Programs, Administration for Children and Families, Health and Human Services",1874000000
"Department of Homeland Security","070-0112","Operations and Support, Management Directorate, Departmental Management, Operations, Intelligence, and Oversight, Homeland Security",178300000
"Department of Homeland Security","070-0413","Federal Assistance, Federal Emergency Management Agency, Homeland Security",400000000
"Department of Homeland Security","070-0550","Operations and Support, Transportation Security Administration, Homeland Security",100000000
"Department of Homeland Security","070-0566","Operations and Support, National Protection and Programs Directorate, Homeland Security",9100000
"Department of Homeland Security","070-0610","Operations and Support, Coast Guard, Homeland Security ",140800000
"Department of Homeland Security","070-0700","Operations and Support, Federal Emergency Management Agency, Homeland Security",44987000
"Department of Homeland Security","070-0702","Disaster Relief Fund, Federal Emergency Management Agency, Homeland Security",44997000000
"Department of Housing & Urban Development","086-0144","Fair Housing Activities, Fair Housing and Equal Opportunity, Housing and Urban Development",2500000
"Department of Housing & Urban Development","086-0162","Community Development Fund, Community Planning and Development, Housing and Urban Development",5000000000
"Department of Housing & Urban Development","086-0163","Public Housing Operating Fund, Public and Indian Housing, Housing and Urban Development",685000000
"Department of Housing & Urban Development","086-0189","Office of Inspector General, Management and Administration, Housing and Urban Development",5000000
"Department of Housing & Urban Development","086-0192","Homeless Assistance Grants, Community Planning and Development, Housing and Urban Development",4000000000
"Department of Housing & Urban Development","086-0237","Housing for Persons with Disabilities, Housing Programs, Housing and Urban Development",15000000
"Department of Housing & Urban Development","086-0302","Tenant-Based Rental Assistance, Public and Indian Housing, Housing and Urban Development",1250000000
"Department of Housing & Urban Development","086-0303","Project-Based Rental Assistance, Housing Programs, Housing and Urban Development",1000000000
"Department of Housing & Urban Development","086-0308","Housing Opportunities for Persons with AIDS, Community Planning  and Development, Housing and Urban Development",65000000
"Department of Housing & Urban Development","086-0313","Native American Programs, Public and Indian Housing, Housing and Urban Development",300000000
"Department of Housing & Urban Development","086-0320","Housing for the Elderly, Housing Programs, Housing and Urban Development",50000000
"Department of Housing & Urban Development","086-0335","Administrative Support Offices, Management and Administration, Housing and Urban Development",35000000
"Department of Housing & Urban Development","086-0479","Program Offices, Management and Administration, Housing and Urban Development",15000000
"Department of Justice","015-0200","Salaries and Expenses, Federal Bureau of Investigation, Justice",20000000
"Department of Justice","015-0322","Salaries and Expenses, United States Attorneys, Justice",3000000
"Department of Justice","015-0324","Salaries and Expenses, United States Marshals Service, Justice",15000000
"Department of Justice","015-0404","State and Local Law Enforcement Assistance, Office of Justice Programs, Office of Justice Programs, Justice",850000000
"Department of Justice","015-1100","Salaries and Expenses, Drug Enforcement Administration, Justice",15000000
"Department of Labor","016-0106","Office of the Inspector General, Departmental Management, Labor",25000000
"Department of Labor","016-0165","Salaries and Expenses, Departmental Management, Labor",15000000
"Department of Labor","016-0168","Short Time Compensation Programs, Employment and Training Administration, Labor",250000
"Department of Labor","016-0174","Training and Employment Service, Employment and Training Administration, Labor",345000000
"Department of State","019-0113","Diplomatic and Consular Programs, State",507000000
"Department of State","019-1031","Global Health Programs, State",200000000
"Department of State","019-1143","Migration and Refugee Assistance, State",350000000
"Department of State","019-5713","Consular and Border Security Programs, Administration of Foreign Affairs, State",81000000
"Department of the Interior","014-0102","Departmental Operations, Office of the Secretary, Interior",158400000
"Department of the Interior","014-0412","Assistance to Territories, Insular Affairs, Interior",55000000
"Department of the Interior","014-0680","Water and Related Resources, Bureau of Reclamation, Interior",12000000
"Department of the Interior","014-0787","Central Utah Project Completion Account, Central Utah Project, Interior",500000
"Department of the Interior","014-2100","Operation of Indian Programs, Bureau of Indian Affairs and Bureau of Indian Education, Interior",453000000
"Department of the Interior","014-2106","Operation of Indian Education Programs, Bureau of Indian Affairs and Bureau of Indian Education, Interior",69000000
"Department of the Interior","014-5065","Policy and Administration, Bureau of Reclamation, Interior",8100000
"Department of the Treasury","020-0151","Public Broadcasting Fund, Corporation for Public Broadcasting, Treasury",75000000
"Department of the Treasury","020-0501","Payment to the Legal Services Corporation, Legal Services Corporation",50000000
"Department of the Treasury","020-0520","Salaries and Expenses, Bureau of the Fiscal Service, Treasury",78650000
"Department of the Treasury","020-0912","Taxpayer Services, Internal Revenue Service, Treasury",359900000
"Department of the Treasury","020-0913","Enforcement, Internal Revenue Service",79200000
"Department of the Treasury","020-0919","Operations Support, Internal Revenue Service, Treasury",326600000
"Department of the Treasury","020-1771","Federal Payment for Emergency Planning and Security Costs in the District of Columbia, Treasury",5000000
"Department of the Treasury","020-1892","Coronavirus Relief Fund, Departmental Offices, Treasury",150000000000
"Department of the Treasury","020-1894","Air Carrier Worker Support, Departmental Offices, Department of Treasury",32000000000
"Department of Transportation","069-0102","Salaries and Expenses, Office of the Secretary, Transportation",1753000
"Department of Transportation","069-0130","Salaries and Expenses, Office of the Inspector General, Transportation",5000000
"Department of Transportation","069-1712","State Maritime Academy Operations, Maritime Administration, Transportation",1000000
"Department of Transportation","069-1750","Operations and Training, Maritime Administration, Transportation",3134000
"Department of Transportation","069-1774","Northeast Corridor Grants to the National Railroad Passenger Corporation, Transportation",492000000
"Department of Transportation","069-1775","National Network Grants to the National Railroad Passenger Corporation, Transportation",526000000
"Department of Transportation","069-2812","Transit Infrastructure Grants, Federal Transit Administration, Transportation",25000000000
"Department of Transportation","069-5423","Essential Air Service and Rural Airport Improvement Fund, Office of the Secretary, Transportation",56000000
"Department of Transportation","069-8106","Grants-In-Aid for Airports, Liquidation of Contract Authorization, Airport and Airway Trust Fund, Federal Aviation Administration, Transportation",10000000000
"Department of Veterans Affairs","036-0140","Medical Community Care, Veterans Health Administration, Veterans Affairs ",2130000000
"Department of Veterans Affairs","036-0142","General Administration, Departmental Administration, Veterans Affairs",6000000
"Department of Veterans Affairs","036-0151","General Operating Expenses, Veterans Benefits Administration, Veterans Affairs",13000000
"Department of Veterans Affairs","036-0152","Medical Support and Compliance, Veterans Health Administration, Veterans Affairs",100000000
"Department of Veterans Affairs","036-0160","Medical Services, Veterans Health Administration, Veterans Affairs",14462000000
"Department of Veterans Affairs","036-0162","Expenses, Medical Facilities, Veterans Health Administration, Veterans Affairs",606000000
"Department of Veterans Affairs","036-0167","Information Technology Systems, Departmental Administration, Veterans Affairs",2150000000
"Department of Veterans Affairs","036-0170","Office of Inspector General, Departmental Administration, Veterans Affairs",12500000
"Department of Veterans Affairs","036-0181","Grants for Construction of State Extended Care Facilities, Departmental Administration, Veterans Affairs",150000000
"Election Assistance Commission","525-1651","Election Reform Programs, Election Assistance Commission",400000000
"Environmental Protection Agency","068-0107","Science and Technology, Environmental Protection Agency",2250000
"Environmental Protection Agency","068-0108","Environmental Programs and Management, Environmental Protection Agency",3910000
"Federal Communications Commission","027-0100","Salaries and Expenses, Federal Communications Commission",200000000
"General Services Administration","047-4540","Working Capital Fund, General Services Administration",1500000
"General Services Administration","047-4542","Federal Buildings Fund, General Services Administration",275000000
"General Services Administration","047-4549","Federal Citizen Services Fund, General Services Administration",18650000
"Inst of American Indian & Alaska Native Culture & Arts Development","373-2900","Payment to the Institute, Institute of American Indian and Alaska Native Culture and Arts Development",78000
"INSTITUTE OF MUSEUM AND LIBRARY SERVICES","474-0301","Office of Museum and Library Services: Grants and Administration, Institute of Museum and Library Services ",50000000
"Judiciary Branch","010-0920","Salaries and Expenses, Courts of Appeals, District Courts, and Other Judicial Services, The Judiciary",6005406.63
"Legislative Branch","001-0100","Capital Construction and Operations, Architect of the Capitol",25000000
"Legislative Branch","002-0477","Salaries, Capitol Police",12000000
"Legislative Branch","005-0107","Salaries and Expenses, Government Accountability Office",20000000
"National Aeronautics & Space Administration","080-0122","Safety, Security and Missions Services, National Aeronautics and Space Administration",60000000
"National Archives & Records Administration","088-0300","Operating Expenses, National Archives and Records Administration",8100000
"NATIONAL ENDOWMENT FOR THE HUMANITIES","418-0200","Grants and Administration, National Endowment for the Humanities, National Foundation on the Arts and Humanities ",75000000
"NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES","417-0100","Grants and Administration, National Endowment for the Arts, National Foundation on the Arts and Humanities",75000000
"National Science Foundation","049-0100","Research and Related Activities, National Science Foundation",75000000
"National Science Foundation","049-0180","Agency Operations and Award Management, National Science Foundation",1000000
"Nuclear Regulatory Commission","031-0200","Salaries and Expenses, Nuclear Regulatory Commission",3300000
"Office of Personnel Management","024-0100","Salaries and Expenses, Office of Personnel Management",12100000
"RAILROAD RETIREMENT BOARD","060-0117","Railroad Unemployment Insurance Extended Benefits Payments, Railroad Retirement Board",133416822.2
"RAILROAD RETIREMENT BOARD","060-0121","Payment to Limitation on Administration, Railroad Retirement Board",5000000
"Small Business Administration","073-0100","Salaries and Expenses, Small Business Administration",675000000
"Small Business Administration","073-0200","Office of Inspector General, Small Business Administration",25000000
"Small Business Administration","073-0400","Entrepreneurial Development Programs, Small Business Administration",265000000
"Small Business Administration","073-0500","Emergency EIDL Grants, Small Business Administration",10000000000
"Small Business Administration","073-1152","Disaster Loans Program Account, Small Business Administration",0
"Small Business Administration","073-1154","Business Loans Program Account, Small Business Administration",366000000000
"Smithsonian Institution","033-0100","Salaries and Expenses, Smithsonian Institution",7500000
"Social Security Administration","028-8704","Salaries and Expenses, Social Security Administration",338000000
